zip,latitude,longitude,estimated_population
75001,32.96,-96.83,10245
75006,32.98,-96.89,38972
75011,32.98,-96.89,1607
75014,32.85,-96.96,474
75015,32.85,-96.96,832
75016,32.85,-96.96,1002
75017,32.85,-96.96,0
75019,32.96,-96.99,34805
75030,32.9,-96.55,849
75037,32.78,-96.8,0
75038,32.85,-96.96,21643
75039,32.85,-96.96,8231
75040,32.91,-96.62,47500
75041,32.91,-96.62,21729
75042,32.91,-96.62,28686
75043,32.91,-96.62,45476
75044,32.91,-96.62,33925
75045,32.91,-96.62,614
75046,32.91,-96.62,707
75047,32.91,-96.62,0
75048,32.91,-96.62,17231
75049,32.91,-96.62,797
75050,32.69,-97.01,29564
75051,32.69,-97.01,26275
75052,32.69,-97.01,68943
75053,32.69,-97.01,1345
75060,32.85,-96.96,35350
75061,32.85,-96.96,37493
75062,32.85,-96.96,34919
75063,32.85,-96.96,27912
75080,32.97,-96.7,33743
75081,32.97,-96.7,28009
75083,32.97,-96.7,1713
75085,32.97,-96.7,546
75088,32.9,-96.55,21538
75089,32.9,-96.55,24865
75099,32.96,-96.99,0
75104,32.58,-96.95,34793
75106,32.58,-96.95,1484
75115,32.58,-96.86,37234
75116,32.64,-96.91,14846
75123,32.58,-96.86,1363
75134,32.59,-96.78,14114
75137,32.64,-96.91,15292
75138,32.64,-96.91,1340
75141,32.64,-96.7,2477
75146,32.59,-96.78,14595
75149,32.76,-96.59,42329
75150,32.76,-96.59,44465
75159,32.65,-96.54,12440
75172,32.59,-96.68,2688
75180,32.76,-96.59,16065
75181,32.76,-96.59,20191
75182,32.79,-96.55,4453
75185,32.76,-96.59,1247
75187,32.76,-96.59,540
75201,32.79,-96.76,6709
75202,32.79,-96.76,1319
75203,32.79,-96.76,9969
75204,32.79,-96.76,17571
75205,32.79,-96.76,16637
75206,32.79,-96.76,24726
75207,32.79,-96.76,628
75208,32.79,-96.76,23585
75209,32.79,-96.76,11199
75210,32.79,-96.76,4212
75211,32.79,-96.76,51878
75212,32.79,-96.76,17516
75214,32.79,-96.76,25594
75215,32.79,-96.76,9775
75216,32.79,-96.76,35009
75217,32.79,-96.76,57055
75218,32.79,-96.76,18331
75219,32.79,-96.76,17375
75220,32.79,-96.76,26442
75221,32.79,-96.76,0
75222,32.79,-96.76,1068
75223,32.79,-96.76,10554
75224,32.79,-96.76,23717
75225,32.79,-96.76,19408
75226,32.79,-96.76,2024
75227,32.79,-96.76,38936
75228,32.79,-96.76,46796
75229,32.79,-96.76,27098
75230,32.79,-96.76,22222
75231,32.79,-96.76,23801
75232,32.79,-96.76,22153
75233,32.79,-96.76,9692
75234,32.79,-96.76,23496
75235,32.79,-96.76,12286
75236,32.79,-96.76,10605
75237,32.79,-96.76,11191
75238,32.79,-96.76,22550
75240,32.79,-96.76,16733
75241,32.79,-96.76,20746
75242,32.79,-96.76,0
75243,32.79,-96.76,40571
75244,32.79,-96.76,10600
75245,32.82,-96.83,0
75246,32.79,-96.76,1699
75247,32.79,-96.76,695
75248,32.79,-96.76,29004
75249,32.79,-96.76,10491
75250,32.79,-96.76,0
75251,32.79,-96.76,2005
75253,32.79,-96.76,11448
75254,32.79,-96.76,16309
75258,32.8,-96.88,0
75260,32.79,-96.76,0
75262,32.79,-96.76,0
75263,32.79,-96.76,0
75264,32.79,-96.76,0
75265,32.79,-96.76,0
75266,32.79,-96.76,553
75267,32.79,-96.76,0
75270,32.79,-96.76,0
75275,32.79,-96.76,0
75277,32.79,-96.76,0
75283,32.79,-96.76,540
75284,32.79,-96.76,0
75285,32.79,-96.76,0
75286,32.78,-96.8,0
75301,32.79,-96.76,0
75303,32.79,-96.76,0
75310,32.78,-96.8,0
75312,32.79,-96.76,0
75313,32.79,-96.76,0
75315,32.79,-96.76,445
75320,32.79,-96.76,0
75323,32.96,-96.8,0
75326,32.79,-96.76,0
75334,32.67,-96.61,0
75336,32.79,-96.76,0
75339,32.79,-96.76,376
75340,32.76,-96.86,0
75342,32.79,-96.76,0
75343,32.76,-96.86,0
75344,32.78,-96.79,0
75353,32.78,-96.8,0
75354,32.79,-96.76,738
75355,32.79,-96.76,469
75356,32.79,-96.76,0
75357,32.79,-96.76,537
75358,32.94,-96.87,0
75359,32.79,-96.76,0
75360,32.79,-96.76,674
75363,32.93,-96.79,0
75364,32.78,-96.8,0
75367,32.79,-96.76,383
75368,32.79,-96.76,0
75370,32.79,-96.76,1040
75371,32.79,-96.76,0
75372,32.79,-96.76,0
75373,32.79,-96.76,0
75374,32.79,-96.76,904
75376,32.79,-96.76,720
75378,32.79,-96.76,0
75379,32.79,-96.76,794
75380,32.79,-96.76,736
75381,32.79,-96.76,421
75382,32.79,-96.76,784
75386,32.78,-96.87,0
75387,32.78,-96.8,0
75388,32.78,-96.8,0
75389,32.79,-96.76,0
75390,32.79,-96.76,0
75391,32.79,-96.76,0
75392,32.79,-96.76,0
75393,32.79,-96.76,0
75394,32.79,-96.76,0
75395,32.79,-96.76,0
75396,32.78,-96.8,0
75397,32.79,-96.76,0
75398,32.79,-96.76,0
